Province,District,Gender,School,SLC,NEB,Escore,Merit No
7,Achham,M,P,82.5,79,92,30
7,Achham,M,G,78,69,80,208
7,Achham,M,O,75,59,80,215
7,Achham,M,P,71.25,60.75,71,573
7,Achham,M,Null,73.75,73.25,68,705
7,Achham,M,P,57.5,56.5,68,756
7,Achham,M,G,56.25,54.25,68,757
7,Achham,M,G,84,70.25,62,1135
5,Arghakhanchi,M,G,80,79,97,10
5,Arghakhanchi,F,Null,85,80.5,94,21
5,Arghakhanchi,M,P,80,82.25,90,36
5,Arghakhanchi,F,P,87.5,76.5,84,105
5,Arghakhanchi,M,G,56.25,62.25,83,137
0,Arghakhanchi,F,G,72.5,68.25,79,235
5,Arghakhanchi,M,G,78.5,75.75,77,279
5,Arghakhanchi,F,P,82.5,77.25,76,309
0,Arghakhanchi,F,G,81.25,69.75,76,320
5,Arghakhanchi,M,G,82.5,75.75,75,350
5,Arghakhanchi,F,P,68.75,66.5,74,406
5,Arghakhanchi,M,P,65,62.5,74,411
5,Arghakhanchi,M,G,80,72.25,73,442
5,Arghakhanchi,M,P,80,70.75,73,446
5,Arghakhanchi,F,P,86.25,69,72,494
5,Arghakhanchi,F,G,78.5,74,68,703
5,Arghakhanchi,M,P,76.25,66.5,68,729
5,Arghakhanchi,F,G,81.25,75.75,67,769
5,Arghakhanchi,M,G,77.5,73.25,67,781
5,Arghakhanchi,F,G,77.5,75.75,62,1120
5,Arghakhanchi,M,G,62.5,60.25,62,1183
5,Arghakhanchi,M,P,66.25,57,62,1192
5,Arghakhanchi,F,G,73.75,69,61,1218
5,Arghakhanchi,M,Null,68.75,61.5,61,1248
0,Arghakhanchi,F,P,75,56.5,60,1354
4,Baglung,M,G,86,79,93,24
0,Baglung,M,P,80,79.75,88,50
4,Baglung,M,Null,75,77.25,84,103
4,Baglung,F,P,83.75,81.5,82,142
4,Baglung,F,G,86.25,77.25,81,173
4,Baglung,M,P,75,75.75,81,176
4,Baglung,M,P,78.5,72.25,80,204
4,Baglung,F,G,80,74,79,228
4,Baglung,F,Null,81.25,59,79,244
4,Baglung,M,G,78.5,68.25,77,289
4,Baglung,M,P,85,66.5,77,291
4,Baglung,F,P,87.5,78.75,75,341
4,Baglung,F,Null,73.75,63.5,73,458
0,Baglung,F,P,76.25,74,72,482
4,Baglung,M,G,76.25,72.25,71,538
4,Baglung,F,Null,70,69,71,547
4,Baglung,F,P,82.5,71.25,70,597
4,Baglung,F,G,73.75,68,70,607
4,Baglung,F,P,83.75,76.75,69,635
0,Baglung,M,Null,70,63.5,69,681
4,Baglung,F,P,77.5,73,68,706
4,Baglung,F,Null,80,72.25,68,708
4,Baglung,F,G,76.25,72,68,712
4,Baglung,F,G,67.5,61.75,68,742
4,Baglung,M,P,83.75,61.5,68,743
4,Baglung,F,P,87.5,74.75,67,772
4,Baglung,M,P,72.5,73.25,66,840
4,Baglung,M,G,85,60.75,66,883
4,Baglung,F,O,81.25,72.25,65,912
4,Baglung,M,P,71.25,62,65,957
4,Baglung,F,P,87.5,81.5,64,969
4,Baglung,F,P,76.25,56.75,64,1034
4,Baglung,F,P,71.25,64.75,62,1160
4,Baglung,F,P,85,63.75,62,1169
4,Baglung,F,O,78.5,79.75,60,1274
7,Baitadi,F,P,76.25,73,83,127
7,Baitadi,M,P,81.25,63,80,213
7,Baitadi,M,P,81.25,69.5,73,450
7,Baitadi,F,P,71.25,62.25,65,955
7,Bajhang,M,P,73.75,64.75,72,504
7,Bajhang,M,G,56.25,50.5,67,832
7,Bajhang,M,G,75,59,62,1188
7,Bajura,M,P,72.5,79.75,83,121
7,Bajura,M,P,77.5,74,79,229
0,Banke,M,G,83.75,74,93,28
5,Banke,M,P,80,76.5,86,78
5,Banke,F,G,83.75,66.5,85,91
5,Banke,M,P,83.75,67.25,84,114
5,Banke,F,P,78.5,65.5,82,164
5,Banke,M,P,80,62.25,79,243
5,Banke,M,G,77.5,75.75,77,280
5,Banke,F,P,76.25,69,75,368
5,Banke,M,P,73.75,59.75,74,416
5,Banke,M,P,75,63,70,621
5,Banke,M,P,82.5,69.75,69,654
5,Banke,F,P,77.5,61.75,69,684
5,Banke,M,P,83.75,69.75,68,716
5,Banke,F,P,66.25,61.5,68,746
5,Banke,M,G,56.25,65.75,66,862
5,Banke,F,P,85,65.75,64,1011
5,Banke,F,G,60,62.25,64,1022
5,Banke,M,P,83.75,81.5,63,1042
5,Banke,M,P,67.5,59.5,62,1187
5,Banke,F,P,82.5,60.5,61,1254
2,Bara,M,P,81.25,69,74,403
2,Bara,F,P,73.75,57.25,74,421
2,Bara,M,P,71.25,61.25,73,465
0,Bara,F,G,76.25,61,71,571
2,Bara,F,P,76.25,58.25,70,628
2,Bara,F,P,86.25,58.5,65,965
2,Bara,F,P,82.5,74.5,63,1047
0,Bara,M,G,78.5,63.25,62,1174
0,Bara,M,G,65,57.25,61,1267
2,Bara,F,O,75,58.25,60,1350
5,Bardiya,M,P,86.25,79.75,88,48
5,Bardiya,M,G,75,63.25,81,185
5,Bardiya,M,G,70,66.5,77,292
5,Bardiya,M,P,70,62.25,77,298
5,Bardiya,M,P,75,63.25,75,376
5,Bardiya,F,P,80,59,74,417
5,Bardiya,M,P,65,57,74,422
5,Bardiya,M,P,77.5,61.75,73,462
5,Bardiya,F,P,78.5,60.75,70,624
5,Bardiya,F,P,83.75,69,69,659
5,Bardiya,M,P,65,60.5,68,749
5,Bardiya,M,P,77.5,62.25,67,816
5,Bardiya,F,G,71.25,64,66,871
5,Bardiya,F,P,73.38,76.35,65,903
5,Bardiya,F,Null,78.5,70.75,65,919
5,Bardiya,F,G,58.75,84.94,63,1040
5,Bardiya,M,P,75,65.75,63,1078
5,Bardiya,M,G,61.25,56.75,63,1109
5,Bardiya,F,G,62.5,63.25,61,1239
5,Bardiya,F,P,82.5,60.75,61,1250
3,Bhaktapur,M,G,80,66.25,70,613
3,Bhaktapur,F,P,82.5,62,64,1023
3,Bhaktapur,F,P,76.25,66.25,63,1076
3,Bhaktapur,F,P,81.25,64,63,1086
3,Chitwan,F,P,90,85.75,98,6
3,Chitwan,M,P,80,76.5,98,8
3,Chitwan,M,P,82.5,82.25,97,9
3,Chitwan,M,P,73.75,59.75,97,12
3,Chitwan,M,O,82.5,69,95,15
3,Chitwan,F,P,83.75,75.75,93,27
3,Chitwan,F,P,85,78.25,92,31
3,Chitwan,F,P,85,71.5,92,32
3,Chitwan,F,P,83.75,81.5,90,37
3,Chitwan,M,P,75,74,89,44
3,Chitwan,F,G,83.75,80.75,88,45
3,Chitwan,F,P,80,80.75,88,46
3,Chitwan,F,G,75,74.75,88,54
3,Chitwan,F,P,85,73.25,87,66
3,Chitwan,F,G,86.25,79.75,86,72
3,Chitwan,F,G,83.75,79,86,73
3,Chitwan,M,G,82.5,75.75,86,79
3,Chitwan,M,P,81.25,73.25,86,84
3,Chitwan,F,P,82.5,71.5,85,90
3,Chitwan,M,G,72.5,64,85,92
3,Chitwan,F,P,81.25,83.25,84,95
3,Chitwan,M,P,83.75,79.75,84,99
3,Chitwan,F,P,82.5,77.25,84,102
3,Chitwan,F,P,82.5,74,84,109
3,Chitwan,M,P,75,67.25,84,116
3,Chitwan,F,G,66.25,64,84,117
3,Chitwan,M,P,80,77.25,83,122
3,Chitwan,F,P,85,72.25,83,128
3,Chitwan,M,P,75,64.25,83,135
3,Chitwan,M,G,81.25,62.25,83,136
3,Chitwan,F,P,87.5,84,82,139
3,Chitwan,F,P,82.5,82.25,82,141
3,Chitwan,M,P,76.25,74,82,153
3,Chitwan,M,P,81.25,65.75,82,162
3,Chitwan,M,Null,82.5,79.75,81,171
3,Chitwan,F,P,76.25,62.25,81,187
3,Chitwan,M,P,76.25,57.25,81,190
3,Chitwan,M,P,78.5,79,80,194
0,Chitwan,F,G,83.75,72.25,80,202
3,Chitwan,M,P,78.5,69.75,80,207
3,Chitwan,F,G,89,80.75,79,217
3,Chitwan,M,G,83.75,78.25,79,222
3,Chitwan,F,P,80,75.75,79,225
3,Chitwan,F,P,80,72.25,79,230
3,Chitwan,F,P,75,59,79,245
3,Chitwan,F,P,86.25,83.25,78,246
3,Chitwan,F,G,83.75,76.5,78,250
3,Chitwan,F,P,78.5,76.5,78,251
3,Chitwan,F,G,82.5,74.75,78,253
3,Chitwan,F,G,88.75,74,78,255
3,Chitwan,M,O,78.5,72.25,78,257
3,Chitwan,F,G,72.5,71.5,78,259
3,Chitwan,F,G,71.25,71.5,78,260
3,Chitwan,F,G,86.25,75.75,77,278
3,Chitwan,F,P,77.5,71.5,77,283
3,Chitwan,F,P,81.25,69.75,77,287
3,Chitwan,F,P,80,69,77,288
3,Chitwan,F,P,82.5,65.75,77,293
3,Chitwan,M,G,80,61.5,77,299
3,Chitwan,F,P,86.25,78.25,76,305
3,Chitwan,M,P,76.25,78.25,76,307
3,Chitwan,F,P,83.75,75.75,76,310
3,Chitwan,M,G,81.25,74,76,314
3,Chitwan,M,P,78.5,71.5,76,315
3,Chitwan,F,P,85,70.75,76,317
3,Chitwan,M,P,83.75,70.75,76,318
3,Chitwan,F,P,76.25,67.25,76,326
3,Chitwan,F,P,81.25,77.25,75,343
3,Chitwan,F,P,83.75,76.5,75,345
3,Chitwan,F,G,81.25,70.75,75,362
3,Chitwan,F,P,80,70.75,75,363
3,Chitwan,F,G,78.5,64.75,75,374
3,Chitwan,F,P,83.75,80.75,74,382
3,Chitwan,F,P,80,79,74,385
3,Chitwan,F,P,80,76.5,74,388
3,Chitwan,F,G,82.5,72.25,74,391
3,Chitwan,M,P,80,70.75,74,396
3,Chitwan,F,G,72.5,70.75,74,399
3,Chitwan,F,P,85,78.25,73,427
3,Chitwan,M,P,83.75,78.25,73,428
3,Chitwan,F,P,81.25,78.25,73,429
3,Chitwan,F,P,76.25,78.25,73,430
3,Chitwan,M,P,81.25,74,73,436
3,Chitwan,F,P,80,74,73,437
3,Chitwan,M,P,81.25,64.75,73,456
3,Chitwan,M,G,72.5,57,73,472
3,Chitwan,M,Null,82.5,77.25,72,474
3,Chitwan,F,P,83.75,76.5,72,475
3,Chitwan,F,P,81.25,74,72,481
3,Chitwan,F,P,78.5,73.25,72,486
3,Chitwan,F,P,85,72.25,72,488
3,Chitwan,F,G,75,70.75,72,491
3,Chitwan,F,G,86.25,67.25,72,500
3,Chitwan,F,P,78.5,64.75,72,503
3,Chitwan,F,P,73.75,64,72,505
3,Chitwan,M,Null,78.5,61.5,72,514
3,Chitwan,F,P,75,61.5,72,515
3,Chitwan,F,P,82.5,80.75,71,523
3,Chitwan,F,P,78.5,79,71,526
3,Chitwan,F,P,85,78.25,71,527
3,Chitwan,F,G,85,77.25,71,529
3,Chitwan,M,P,85,70.75,71,541
3,Chitwan,F,P,81.25,68.25,71,548
3,Chitwan,F,P,80,64,71,564
3,Chitwan,M,G,80,78.25,70,581
3,Chitwan,M,P,83.75,75.25,70,587
3,Chitwan,F,O,72.5,74,70,589
3,Chitwan,F,P,80,71.5,70,596
3,Chitwan,M,P,75,70.75,70,600
3,Chitwan,M,P,75,68.75,70,606
3,Chitwan,F,P,86.25,66.5,70,611
3,Chitwan,M,P,72.5,61.5,70,622
3,Chitwan,M,G,82.5,79,69,633
3,Chitwan,F,G,77.5,76.5,69,637
3,Chitwan,F,P,87.5,73.25,69,638
3,Chitwan,F,G,75,73.25,69,639
3,Chitwan,F,G,75,70.75,69,650
3,Chitwan,M,P,82.5,70,69,652
3,Chitwan,F,P,78.5,69,69,663
3,Chitwan,M,G,73.75,68.25,69,668
3,Chitwan,F,P,77.5,65.75,69,674
3,Chitwan,F,G,75,64.75,69,677
3,Chitwan,M,P,76.25,72.25,68,710
3,Chitwan,F,P,77.5,69.75,68,719
3,Chitwan,F,G,78.5,68.25,68,723
3,Chitwan,F,P,77.5,64,68,736
3,Chitwan,F,P,86.25,76.5,67,767
3,Chitwan,F,P,83.75,73.25,67,780
3,Chitwan,F,P,76.25,73.25,67,782
3,Chitwan,F,P,82.5,72.25,67,783
3,Chitwan,F,G,75,72.25,67,785
3,Chitwan,M,P,83.75,70.75,67,791
3,Chitwan,F,P,78.5,68.25,67,798
3,Chitwan,F,G,73.75,66.5,67,803
3,Chitwan,F,P,76.25,64.75,67,805
3,Chitwan,F,P,70,64.75,67,808
3,Chitwan,F,P,80,61.5,67,819
3,Chitwan,F,G,72.5,58,67,825
3,Chitwan,M,P,80,74.75,66,835
3,Chitwan,F,P,76.25,71.5,66,844
3,Chitwan,M,P,76.25,71,66,846
3,Chitwan,F,P,81.25,69,66,851
3,Chitwan,M,P,77.5,64.75,66,865
3,Chitwan,F,G,62.5,64.75,66,867
3,Chitwan,F,P,73.75,64,66,870
3,Chitwan,F,P,76.25,63.25,66,875
3,Chitwan,F,P,85,78.25,65,897
3,Chitwan,F,P,82.5,74,65,907
3,Chitwan,F,P,77.5,73.25,65,910
3,Chitwan,M,P,75,71.5,65,917
3,Chitwan,F,P,77.5,69.75,65,923
3,Chitwan,M,P,83.75,69.25,65,927
3,Chitwan,M,G,61.25,65.75,65,944
3,Chitwan,M,P,78.5,65,65,946
3,Chitwan,F,G,76.25,63.25,65,953
3,Chitwan,F,P,82.5,77.25,64,977
3,Chitwan,F,P,74.25,75.61,64,981
3,Chitwan,F,P,78.5,72.25,64,988
3,Chitwan,F,P,76.25,67.25,64,1002
3,Chitwan,F,P,68.75,66.75,64,1005
3,Chitwan,M,P,76.25,65.75,64,1012
3,Chitwan,F,P,75,64.75,64,1015
3,Chitwan,M,P,80,60.75,64,1028
3,Chitwan,M,G,71.25,54.75,64,1036
3,Chitwan,F,P,80,68.25,63,1067
3,Chitwan,F,P,72.5,68,63,1070
3,Chitwan,F,P,65,62.75,63,1094
3,Chitwan,F,P,80,62.25,63,1095
3,Chitwan,F,P,73.75,57.25,63,1108
3,Chitwan,F,P,85,74,62,1125
3,Chitwan,F,P,72.5,71.5,62,1132
3,Chitwan,M,G,72.5,68,62,1150
3,Chitwan,F,G,78.5,65.75,62,1157
3,Chitwan,F,P,82.5,64.75,62,1159
3,Chitwan,F,G,72.5,64,62,1165
3,Chitwan,F,P,80,63.5,62,1172
3,Chitwan,F,P,78.5,63.25,62,1173
3,Chitwan,F,G,72.5,59.75,62,1184
3,Chitwan,F,Null,65,53.25,62,1197
3,Chitwan,M,G,76.25,70.75,61,1216
3,Chitwan,M,G,82.5,67.25,61,1221
3,Chitwan,F,P,75,64.75,61,1230
3,Chitwan,F,P,80,64,61,1234
3,Chitwan,F,P,76.25,62.25,61,1243
3,Chitwan,F,G,76.25,60.75,61,1251
3,Chitwan,M,G,81.25,79,60,1275
3,Chitwan,M,P,81.25,72.25,60,1286
3,Chitwan,M,P,77.5,72.25,60,1288
3,Chitwan,M,G,77.5,69,60,1298
3,Chitwan,F,P,75,67.25,60,1307
3,Chitwan,M,P,76.25,66.75,60,1312
3,Chitwan,M,P,75,61.5,60,1336
3,Chitwan,F,P,77.5,59.5,60,1342
7,Dadeldhura,F,P,78.5,84,94,17
7,Dadeldhura,M,P,70,68.5,81,183
7,Dadeldhura,M,P,70,65.5,76,331
7,Dadeldhura,M,P,83.75,75.5,71,533
7,Dadeldhura,M,P,67.5,59.25,70,626
7,Dadeldhura,M,P,66.25,68.25,67,800
7,Dadeldhura,F,G,73.75,64.75,67,807
